thickness,subunit_segments,tilt,pdb_code,membrane_topology_in,membrane_topology_out,group
27.4,36.0,1.0,4U8V,cytoplasmic side,periplasm,TRANSMEMBRANE PROTEINS:ALPHA-HELICAL
31.8,7.0,9.0,4ZWJ,cytoplasmic side,extracellular side,TRANSMEMBRANE PROTEINS:ALPHA-HELICAL
29.0,36.0,1.0,5JMN,cytoplasmic side,periplasm,TRANSMEMBRANE PROTEINS:ALPHA-HELICAL
29.0,36.0,1.0,6Q4N,cytoplasmic side,periplasm,TRANSMEMBRANE PROTEINS:ALPHA-HELICAL
27.0,39.0,0.0,6SGS,cytoplasmic side,periplasm,TRANSMEMBRANE PROTEINS:ALPHA-HELICAL
31.8,7.0,8.0,6I9K,cytoplasmic side,extracellular side,TRANSMEMBRANE PROTEINS:ALPHA-HELICAL
27.8,36.0,1.0,6ZO5,cytoplasmic side,periplasm,TRANSMEMBRANE PROTEINS:ALPHA-HELICAL
27.8,36.0,1.0,7OUK,cytoplasmic side,periplasm,TRANSMEMBRANE PROTEINS:ALPHA-HELICAL
30.6,8.0,7.0,7MH6,cytoplasmic side,periplasm,TRANSMEMBRANE PROTEINS:ALPHA-HELICAL
12.9,0.0,90.0,6RHV,inner side,outer side,TRANSMEMBRANE PROTEINS:BETA-BARREL
1.3,0.0,50.0,6U33,inner side,outer side,TRANSMEMBRANE PROTEINS:BETA-BARREL
25.2,14.0,0.0,4H56,inner side,outer side,TRANSMEMBRANE PROTEINS:BETA-BARREL
31.2,7.0,7.0,7Y89,cytoplasmic side,extracellular side,TRANSMEMBRANE PROTEINS:ALPHA-HELICAL
32.2,12.0,5.0,7PHP,cytoplasmic side,periplasm,TRANSMEMBRANE PROTEINS:ALPHA-HELICAL
28.6,12.0,5.0,4HUK,cytoplasmic side,periplasm,TRANSMEMBRANE PROTEINS:ALPHA-HELICAL
31.0,12.0,7.0,7K65,cytoplasmic side,extracellular side,TRANSMEMBRANE PROTEINS:ALPHA-HELICAL
5.0,0.0,86.0,3FG4,cytoplasmic side,extracellular side,MONOTOPIC MEMBRANE PROTEINS
31.4,7.0,3.0,8H8J,cytoplasmic side,extracellular side,TRANSMEMBRANE PROTEINS:ALPHA-HELICAL
25.8,36.0,0.0,6VEJ,cytoplasmic side,periplasm,TRANSMEMBRANE PROTEINS:ALPHA-HELICAL
31.4,7.0,3.0,6Y7V,cytoplasmic side,lumenal side,TRANSMEMBRANE PROTEINS:ALPHA-HELICAL
34.0,7.0,2.0,8DKI,cytoplasmic side,lumenal side,TRANSMEMBRANE PROTEINS:ALPHA-HELICAL
30.6,7.0,10.0,6LI1,cytoplasmic side,extracellular side,TRANSMEMBRANE PROTEINS:ALPHA-HELICAL
31.2,7.0,10.0,3AM6,cytoplasmic side,extracellular side,TRANSMEMBRANE PROTEINS:ALPHA-HELICAL
31.0,14.0,0.0,3UG9,cytoplasmic side,extracellular side,TRANSMEMBRANE PROTEINS:ALPHA-HELICAL
30.6,14.0,0.0,4YZI,cytoplasmic side,extracellular side,TRANSMEMBRANE PROTEINS:ALPHA-HELICAL
31.4,14.0,0.0,7C86,cytoplasmic side,extracellular side,TRANSMEMBRANE PROTEINS:ALPHA-HELICAL
31.4,14.0,0.0,6EID,cytoplasmic side,extracellular side,TRANSMEMBRANE PROTEINS:ALPHA-HELICAL
30.6,14.0,0.0,6CSM,cytoplasmic side,extracellular side,TRANSMEMBRANE PROTEINS:ALPHA-HELICAL
30.6,14.0,0.0,6EDQ,cytoplasmic side,extracellular side,TRANSMEMBRANE PROTEINS:ALPHA-HELICAL
31.0,24.0,0.0,7XKK,cytoplasmic side,extracellular side,TRANSMEMBRANE PROTEINS:ALPHA-HELICAL
30.2,12.0,10.0,7MGW,cytoplasmic side,extracellular side,TRANSMEMBRANE PROTEINS:ALPHA-HELICAL
27.4,24.0,0.0,3TT1,cytoplasmic side,periplasm,TRANSMEMBRANE PROTEINS:ALPHA-HELICAL
30.2,12.0,10.0,6ZBV,cytoplasmic side,extracellular side,TRANSMEMBRANE PROTEINS:ALPHA-HELICAL
30.8,12.0,12.0,4M48,cytoplasmic side,extracellular side,TRANSMEMBRANE PROTEINS:ALPHA-HELICAL
30.8,12.0,12.0,4XP1,cytoplasmic side,extracellular side,TRANSMEMBRANE PROTEINS:ALPHA-HELICAL
30.8,12.0,12.0,4XNU,cytoplasmic side,extracellular side,TRANSMEMBRANE PROTEINS:ALPHA-HELICAL
30.6,12.0,15.0,6M0F,cytoplasmic side,extracellular side,TRANSMEMBRANE PROTEINS:ALPHA-HELICAL
30.4,26.0,0.0,7V61,cytoplasmic side,extracellular side,TRANSMEMBRANE PROTEINS:ALPHA-HELICAL
34.6,14.0,0.0,3J9C,inner side,outer side,TRANSMEMBRANE PROTEINS:BETA-BARREL
27.2,14.0,0.0,7KXR,inner side,outer side,TRANSMEMBRANE PROTEINS:BETA-BARREL
29.8,24.0,0.0,6L3T,cytoplasmic side,extracellular side,TRANSMEMBRANE PROTEINS:ALPHA-HELICAL
24.6,14.0,0.0,3O44,inner side,outer side,TRANSMEMBRANE PROTEINS:BETA-BARREL
8.2,0.0,19.0,1XEZ,inner side,outer side,TRANSMEMBRANE PROTEINS:BETA-BARREL
29.8,13.0,18.0,6JMQ,cytoplasmic side,extracellular side,TRANSMEMBRANE PROTEINS:ALPHA-HELICAL
29.2,13.0,16.0,8A6L,cytoplasmic side,extracellular side,TRANSMEMBRANE PROTEINS:ALPHA-HELICAL
33.0,64.0,0.0,5H1R,cytoplasmic side,extracellular side,TRANSMEMBRANE PROTEINS:ALPHA-HELICAL
29.4,11.0,11.0,7PIJ,cytoplasmic side,periplasm,TRANSMEMBRANE PROTEINS:ALPHA-HELICAL
30.2,32.0,0.0,6KFF,cytoplasmic side,extracellular side,TRANSMEMBRANE PROTEINS:ALPHA-HELICAL
33.6,48.0,0.0,6MHQ,cytoplasmic side,extracellular side,TRANSMEMBRANE PROTEINS:ALPHA-HELICAL
29.8,11.0,7.0,5KTE,cytoplasmic side,periplasm,TRANSMEMBRANE PROTEINS:ALPHA-HELICAL
30.2,11.0,7.0,7QIA,cytoplasmic side,periplasm,TRANSMEMBRANE PROTEINS:ALPHA-HELICAL
32.6,48.0,0.0,7JJP,cytoplasmic side,extracellular side,TRANSMEMBRANE PROTEINS:ALPHA-HELICAL
37.8,32.0,0.0,6VAM,cytoplasmic side,extracellular side,TRANSMEMBRANE PROTEINS:ALPHA-HELICAL
29.4,14.0,7.0,6GS4,cytoplasmic side,periplasm,TRANSMEMBRANE PROTEINS:ALPHA-HELICAL
34.6,12.0,3.0,7PMW,cytoplasmic side,extracellular side,TRANSMEMBRANE PROTEINS:ALPHA-HELICAL
33.8,12.0,5.0,7NQK,cytoplasmic side,extracellular side,TRANSMEMBRANE PROTEINS:ALPHA-HELICAL
31.4,12.0,2.0,7PMY,cytoplasmic side,extracellular side,TRANSMEMBRANE PROTEINS:ALPHA-HELICAL
29.8,14.0,1.0,7L1E,cytoplasmic side,extracellular side,TRANSMEMBRANE PROTEINS:ALPHA-HELICAL
29.4,14.0,0.0,5ZIH,cytoplasmic side,extracellular side,TRANSMEMBRANE PROTEINS:ALPHA-HELICAL
31.6,7.0,4.0,4ZJ8,cytoplasmic side,extracellular side,TRANSMEMBRANE PROTEINS:ALPHA-HELICAL
26.8,14.0,13.0,5DA0,cytoplasmic side,periplasm,TRANSMEMBRANE PROTEINS:ALPHA-HELICAL
30.6,12.0,12.0,6VRH,cytoplasmic side,extracellular side,TRANSMEMBRANE PROTEINS:ALPHA-HELICAL
30.8,12.0,13.0,7LWD,cytoplasmic side,extracellular side,TRANSMEMBRANE PROTEINS:ALPHA-HELICAL
28.6,11.0,13.0,6C08,cytoplasmic side,lumenal side,TRANSMEMBRANE PROTEINS:ALPHA-HELICAL
31.4,11.0,19.0,7KGV,cytoplasmic side,lumenal side,TRANSMEMBRANE PROTEINS:ALPHA-HELICAL
32.2,13.0,3.0,7BC6,cytoplasmic side,extracellular side,TRANSMEMBRANE PROTEINS:ALPHA-HELICAL
29.8,24.0,0.0,3NCY,cytoplasmic side,periplasm,TRANSMEMBRANE PROTEINS:ALPHA-HELICAL
30.6,11.0,16.0,6CSE,cytoplasmic side ,extracellular side,TRANSMEMBRANE PROTEINS:ALPHA-HELICAL
33.6,80.0,0.0,6LOM,cytoplasmic side,extracellular side,TRANSMEMBRANE PROTEINS:ALPHA-HELICAL
33.4,32.0,0.0,6LMT,cytoplasmic side,extracellular side,TRANSMEMBRANE PROTEINS:ALPHA-HELICAL
35.0,40.0,0.0,6LYG,cytoplasmic side,extracellular side,TRANSMEMBRANE PROTEINS:ALPHA-HELICAL
23.6,18.0,0.0,5GAQ,inner side,outer side,TRANSMEMBRANE PROTEINS:BETA-BARREL
29.4,6.0,12.0,6GCI,mitochondrial matrix,intermembrane space,TRANSMEMBRANE PROTEINS:ALPHA-HELICAL
30.2,55.0,10.0,7QRU,cytoplasmic side,periplasm,TRANSMEMBRANE PROTEINS:ALPHA-HELICAL
31.2,0.0,14.0,7PQG,cytoplasmic side,extracellular side,TRANSMEMBRANE PROTEINS:ALPHA-HELICAL
29.4,9.0,11.0,7ZYI,cytoplasmic side,extracellular side,TRANSMEMBRANE PROTEINS:ALPHA-HELICAL
30.0,9.0,14.0,7VAD,cytoplasmic side,extracellular side,TRANSMEMBRANE PROTEINS:ALPHA-HELICAL
29.6,9.0,6.0,7VAE,cytoplasmic side,extracellular side,TRANSMEMBRANE PROTEINS:ALPHA-HELICAL
37.0,44.0,0.0,6UIV,cytoplasmic side,extracellular side,TRANSMEMBRANE PROTEINS:ALPHA-HELICAL
30.2,9.0,14.0,7VAF,cytoplasmic side,extracellular side,TRANSMEMBRANE PROTEINS:ALPHA-HELICAL
29.6,11.0,20.0,5JSZ,cytoplasmic side,periplasm,TRANSMEMBRANE PROTEINS:ALPHA-HELICAL
31.4,44.0,0.0,6VAK,cytoplasmic side,extracellular side,TRANSMEMBRANE PROTEINS:ALPHA-HELICAL
27.8,7.0,18.0,2L6X,cytoplasmic side,periplasm,TRANSMEMBRANE PROTEINS:ALPHA-HELICAL
28.4,35.0,0.0,7B03,cytoplasmic side,periplasm,TRANSMEMBRANE PROTEINS:ALPHA-HELICAL
30.0,7.0,15.0,4HYJ,cytoplasmic side,periplasm,TRANSMEMBRANE PROTEINS:ALPHA-HELICAL
32.8,80.0,0.0,6YTK,cytoplasmic side,extracellular side,TRANSMEMBRANE PROTEINS:ALPHA-HELICAL
28.4,42.0,0.0,4JQ6,cytoplasmic side,periplasm,TRANSMEMBRANE PROTEINS:ALPHA-HELICAL
28.4,35.0,1.0,4KLY,cytoplasmic side,periplasm,TRANSMEMBRANE PROTEINS:ALPHA-HELICAL
37.0,44.0,0.0,7D61,cytoplasmic side,extracellular side,TRANSMEMBRANE PROTEINS:ALPHA-HELICAL
31.8,21.0,0.0,4L35,cytoplasmic side ,extracellular side,TRANSMEMBRANE PROTEINS:ALPHA-HELICAL
29.8,14.0,0.0,3X3B,cytoplasmic side,periplasm,TRANSMEMBRANE PROTEINS:ALPHA-HELICAL
31.2,12.0,1.0,7PH2,cytoplasmic side,periplasm,TRANSMEMBRANE PROTEINS:ALPHA-HELICAL
31.0,12.0,9.0,6FN1,cytoplasmic side,extracellular side,TRANSMEMBRANE PROTEINS:ALPHA-HELICAL
31.8,12.0,8.0,6QEX,cytoplasmic side,extracellular side,TRANSMEMBRANE PROTEINS:ALPHA-HELICAL
31.4,12.0,4.0,7A65,cytoplasmic side,extracellular side,TRANSMEMBRANE PROTEINS:ALPHA-HELICAL
31.2,12.0,9.0,7O9W,cytoplasmic side,extracellular side,TRANSMEMBRANE PROTEINS:ALPHA-HELICAL
30.6,40.0,0.0,6YTV,cytoplasmic side,extracellular side,TRANSMEMBRANE PROTEINS:ALPHA-HELICAL
29.0,14.0,7.0,4KHZ,cytoplasmic side,periplasm,TRANSMEMBRANE PROTEINS:ALPHA-HELICAL
31.4,12.0,4.0,6QUZ,cytoplasmic side,periplasm,TRANSMEMBRANE PROTEINS:ALPHA-HELICAL
31.8,12.0,0.0,3KG2,cytoplasmic side,extracellular side,TRANSMEMBRANE PROTEINS:ALPHA-HELICAL
28.8,6.0,21.0,7P2P,cytoplasmic side,lumenal side,TRANSMEMBRANE PROTEINS:ALPHA-HELICAL
24.2,22.0,5.0,2YSU,periplasm,extracellular side,TRANSMEMBRANE PROTEINS:BETA-BARREL
23.4,22.0,5.0,3M8B,periplasm,extracellular side,TRANSMEMBRANE PROTEINS:BETA-BARREL
23.4,22.0,3.0,2HDI,periplasm,extracellular side,TRANSMEMBRANE PROTEINS:BETA-BARREL
25.4,8.0,5.0,1BXW,periplasm,extracellular side,TRANSMEMBRANE PROTEINS:BETA-BARREL
25.4,8.0,11.0,1QJP,periplasm,extracellular side,TRANSMEMBRANE PROTEINS:BETA-BARREL
25.4,8.0,11.0,1G90,periplasm,extracellular side,TRANSMEMBRANE PROTEINS:BETA-BARREL
25.4,8.0,11.0,2GE4,periplasm,extracellular side,TRANSMEMBRANE PROTEINS:BETA-BARREL
23.9,8.0,4.0,2JMM,periplasm,extracellular side,TRANSMEMBRANE PROTEINS:BETA-BARREL
24.3,8.0,18.0,2K0L,periplasm,extracellular side,TRANSMEMBRANE PROTEINS:BETA-BARREL
26.5,10.0,5.0,1I78,periplasm,extracellular side,TRANSMEMBRANE PROTEINS:BETA-BARREL
31.4,7.0,1.0,4S0V,cytoplasmic side,extracellular side,TRANSMEMBRANE PROTEINS:ALPHA-HELICAL
31.4,7.0,1.0,5WQC,cytoplasmic side,extracellular side,TRANSMEMBRANE PROTEINS:ALPHA-HELICAL
33.8,14.0,1.0,6TPJ,cytoplasmic side,extracellular side,TRANSMEMBRANE PROTEINS:ALPHA-HELICAL
32.4,7.0,6.0,7XRR,cytoplasmic side,extracellular side,TRANSMEMBRANE PROTEINS:ALPHA-HELICAL
34.8,8.0,0.0,1F6G,cytoplasmic side,periplasm,TRANSMEMBRANE PROTEINS:ALPHA-HELICAL
35.0,14.0,4.0,5O9H,cytoplasmic side,extracellular side,TRANSMEMBRANE PROTEINS:ALPHA-HELICAL
31.4,36.0,2.0,7RTT,cytoplasmic side,extracellular side,TRANSMEMBRANE PROTEINS:ALPHA-HELICAL
33.8,7.0,7.0,6KUX,cytoplasmic side,extracellular side,TRANSMEMBRANE PROTEINS:ALPHA-HELICAL
25.6,10.0,4.0,2X55,periplasm,extracellular side,TRANSMEMBRANE PROTEINS:BETA-BARREL
19.4,8.0,13.0,6QWR,periplasm,extracellular side,TRANSMEMBRANE PROTEINS:BETA-BARREL
24.6,8.0,3.0,4RL9,periplasm,extracellular side,TRANSMEMBRANE PROTEINS:BETA-BARREL
24.2,8.0,14.0,4RLC,periplasm,extracellular side,TRANSMEMBRANE PROTEINS:BETA-BARREL
34.8,8.0,0.0,3STL,cytoplasmic side,periplasm,TRANSMEMBRANE PROTEINS:ALPHA-HELICAL
23.9,8.0,7.0,2X27,periplasm,extracellular side,TRANSMEMBRANE PROTEINS:BETA-BARREL
20.6,8.0,15.0,2LHF,periplasm,extracellular side,TRANSMEMBRANE PROTEINS:BETA-BARREL
23.6,8.0,12.0,1QJ8,periplasm,extracellular side,TRANSMEMBRANE PROTEINS:BETA-BARREL
23.6,8.0,12.0,1ORM,periplasm,extracellular side,TRANSMEMBRANE PROTEINS:BETA-BARREL
23.6,8.0,12.0,1Q9F,periplasm,extracellular side,TRANSMEMBRANE PROTEINS:BETA-BARREL
31.8,7.0,0.0,6K41,cytoplasmic side,extracellular side,TRANSMEMBRANE PROTEINS:ALPHA-HELICAL
33.0,12.0,0.0,4U4G,cytoplasmic side,extracellular side,TRANSMEMBRANE PROTEINS:ALPHA-HELICAL
31.8,8.0,0.0,3UKM,cytoplasmic side,extracellular side,TRANSMEMBRANE PROTEINS:ALPHA-HELICAL
33.6,12.0,0.0,4UQJ,cytoplasmic side,extracellular side,TRANSMEMBRANE PROTEINS:ALPHA-HELICAL
31.8,12.0,4.0,4U2P,cytoplasmic side,extracellular side,TRANSMEMBRANE PROTEINS:ALPHA-HELICAL
31.6,12.0,0.0,4U5B,cytoplasmic side,extracellular side,TRANSMEMBRANE PROTEINS:ALPHA-HELICAL
34.0,16.0,2.0,5KBS,cytoplasmic side,extracellular side,TRANSMEMBRANE PROTEINS:ALPHA-HELICAL
30.8,8.0,3.0,3UM7,cytoplasmic side,extracellular side,TRANSMEMBRANE PROTEINS:ALPHA-HELICAL
34.0,32.0,1.0,5KK2,cytoplasmic side,extracellular side,TRANSMEMBRANE PROTEINS:ALPHA-HELICAL
25.2,8.0,14.0,3QRA,periplasm,extracellular side,TRANSMEMBRANE PROTEINS:BETA-BARREL
33.6,8.0,2.0,4RUE,cytoplasmic side,extracellular side,TRANSMEMBRANE PROTEINS:ALPHA-HELICAL
25.2,8.0,14.0,2N2M,periplasm,extracellular side,TRANSMEMBRANE PROTEINS:BETA-BARREL
25.2,8.0,14.0,5VJ8,periplasm,extracellular side,TRANSMEMBRANE PROTEINS:BETA-BARREL
28.5,8.0,6.0,3DZM,periplasm,extracellular side,TRANSMEMBRANE PROTEINS:BETA-BARREL
24.6,12.0,6.0,1QD5,periplasm,extracellular side,TRANSMEMBRANE PROTEINS:BETA-BARREL
24.6,12.0,6.0,1FW2,periplasm,extracellular side,TRANSMEMBRANE PROTEINS:BETA-BARREL
24.6,12.0,6.0,1ILZ,periplasm,extracellular side,TRANSMEMBRANE PROTEINS:BETA-BARREL
24.8,10.0,8.0,2VDF,periplasm,extracellular side,TRANSMEMBRANE PROTEINS:BETA-BARREL
24.9,8.0,22.0,1P4T,periplasm,extracellular side,TRANSMEMBRANE PROTEINS:BETA-BARREL
33.0,20.0,1.0,5WEK,cytoplasmic side,extracellular side,TRANSMEMBRANE PROTEINS:ALPHA-HELICAL
30.6,28.0,0.0,6PEQ,cytoplasmic side,extracellular side,TRANSMEMBRANE PROTEINS:ALPHA-HELICAL
30.2,24.0,0.0,6NQ1,cytoplasmic side,lumenal side,TRANSMEMBRANE PROTEINS:ALPHA-HELICAL
30.4,2.0,32.0,6WVE,cytoplasmic side,lumenal side,TRANSMEMBRANE PROTEINS:ALPHA-HELICAL
30.2,24.0,1.0,6V1Q,cytoplasmic side,extracellular side,TRANSMEMBRANE PROTEINS:ALPHA-HELICAL
29.0,12.0,0.0,8EXP,cytoplasmic side,periplasm,TRANSMEMBRANE PROTEINS:ALPHA-HELICAL
25.8,4.0,48.0,7W6X,cytoplasmic side,periplasm,TRANSMEMBRANE PROTEINS:ALPHA-HELICAL
27.6,4.0,41.0,7W6Y,cytoplasmic side,periplasm,TRANSMEMBRANE PROTEINS:ALPHA-HELICAL
29.2,24.0,7.0,7W72,cytoplasmic side,lumenal side,TRANSMEMBRANE PROTEINS:ALPHA-HELICAL
29.8,24.0,10.0,7WLD,cytoplasmic side,lumenal side,TRANSMEMBRANE PROTEINS:ALPHA-HELICAL
23.3,12.0,4.0,2WJR,periplasm,extracellular side,TRANSMEMBRANE PROTEINS:BETA-BARREL
24.7,8.0,20.0,2ERV,periplasm,extracellular side,TRANSMEMBRANE PROTEINS:BETA-BARREL
30.6,24.0,0.0,7SIZ,cytoplasmic side,extracellular side,TRANSMEMBRANE PROTEINS:ALPHA-HELICAL
25.6,12.0,24.0,3FID,periplasm,extracellular side,TRANSMEMBRANE PROTEINS:BETA-BARREL
24.7,8.0,40.0,1MM4,periplasm,extracellular side,TRANSMEMBRANE PROTEINS:BETA-BARREL
23.4,8.0,27.0,1THQ,periplasm,extracellular side,TRANSMEMBRANE PROTEINS:BETA-BARREL
24.7,8.0,40.0,3GP6,periplasm,extracellular side,TRANSMEMBRANE PROTEINS:BETA-BARREL
24.6,14.0,5.0,1T16,periplasm,extracellular side,TRANSMEMBRANE PROTEINS:BETA-BARREL
24.6,14.0,5.0,3DWN,periplasm,extracellular side,TRANSMEMBRANE PROTEINS:BETA-BARREL
25.4,14.0,3.0,3PGR,periplasm,extracellular side,TRANSMEMBRANE PROTEINS:BETA-BARREL
24.8,14.0,6.0,3DWO,periplasm,extracellular side,TRANSMEMBRANE PROTEINS:BETA-BARREL
30.0,6.0,15.0,7Y48,mitochondrial matrix,intermembrane space,TRANSMEMBRANE PROTEINS:ALPHA-HELICAL
31.4,14.0,1.0,6KUW,cytoplasmic side,extracellular side,TRANSMEMBRANE PROTEINS:ALPHA-HELICAL
31.4,16.0,8.0,6RUQ,cytoplasmic side,extracellular side,TRANSMEMBRANE PROTEINS:ALPHA-HELICAL
31.2,28.0,0.0,7UK5,cytoplasmic side,extracellular side,TRANSMEMBRANE PROTEINS:ALPHA-HELICAL
31.4,36.0,0.0,7OCE,cytoplasmic side,extracellular side,TRANSMEMBRANE PROTEINS:ALPHA-HELICAL
31.4,28.0,0.0,7RZ4,cytoplasmic side,extracellular side,TRANSMEMBRANE PROTEINS:ALPHA-HELICAL
33.4,24.0,0.0,7QHB,cytoplasmic side,extracellular side,TRANSMEMBRANE PROTEINS:ALPHA-HELICAL
31.2,33.0,2.0,7TNJ,cytoplasmic side,extracellular side,TRANSMEMBRANE PROTEINS:ALPHA-HELICAL
24.7,22.0,11.0,3EFM,periplasm,extracellular side,TRANSMEMBRANE PROTEINS:BETA-BARREL
23.4,14.0,7.0,3BS0,periplasm,extracellular side,TRANSMEMBRANE PROTEINS:BETA-BARREL
25.4,13.0,1.0,3BRY,periplasm,extracellular side,TRANSMEMBRANE PROTEINS:BETA-BARREL
23.4,12.0,8.0,1TLY,periplasm,extracellular side,TRANSMEMBRANE PROTEINS:BETA-BARREL
24.7,22.0,5.0,1BY3,periplasm,extracellular side,TRANSMEMBRANE PROTEINS:BETA-BARREL
24.7,22.0,5.0,2FCP,periplasm,extracellular side,TRANSMEMBRANE PROTEINS:BETA-BARREL
24.7,22.0,5.0,1QFG,periplasm,extracellular side,TRANSMEMBRANE PROTEINS:BETA-BARREL
24.7,22.0,5.0,1QKC,periplasm,extracellular side,TRANSMEMBRANE PROTEINS:BETA-BARREL
24.7,22.0,5.0,1FI1,periplasm,extracellular side,TRANSMEMBRANE PROTEINS:BETA-BARREL
31.4,28.0,1.0,5VOT,cytoplasmic side,extracellular side,TRANSMEMBRANE PROTEINS:ALPHA-HELICAL
32.8,7.0,3.0,2VT4,cytoplasmic side,extracellular side,TRANSMEMBRANE PROTEINS:ALPHA-HELICAL
31.4,7.0,2.0,2Y00,cytoplasmic side,extracellular side,TRANSMEMBRANE PROTEINS:ALPHA-HELICAL
32.2,7.0,2.0,2YCW,cytoplasmic side,extracellular side,TRANSMEMBRANE PROTEINS:ALPHA-HELICAL
31.4,7.0,2.0,4AMJ,cytoplasmic side,extracellular side,TRANSMEMBRANE PROTEINS:ALPHA-HELICAL
30.8,14.0,0.0,4GPO,cytoplasmic side,extracellular side,TRANSMEMBRANE PROTEINS:ALPHA-HELICAL
31.4,7.0,4.0,7BVQ,cytoplasmic side,extracellular side,TRANSMEMBRANE PROTEINS:ALPHA-HELICAL
33.8,7.0,4.0,3D4S,cytoplasmic side,extracellular side,TRANSMEMBRANE PROTEINS:ALPHA-HELICAL
32.6,32.0,0.0,7PXE,cytoplasmic side,extracellular side,TRANSMEMBRANE PROTEINS:ALPHA-HELICAL
31.0,12.0,3.0,6LR0,cytoplasmic side,extracellular side,TRANSMEMBRANE PROTEINS:ALPHA-HELICAL
24.6,22.0,3.0,2GRX,periplasm,extracellular side,TRANSMEMBRANE PROTEINS:BETA-BARREL
24.6,22.0,5.0,4CU4,periplasm,extracellular side,TRANSMEMBRANE PROTEINS:BETA-BARREL
23.8,23.0,3.0,8A60,periplasm,extracellular side,TRANSMEMBRANE PROTEINS:BETA-BARREL
23.6,22.0,3.0,4EPA,periplasm,extracellular side,TRANSMEMBRANE PROTEINS:BETA-BARREL
24.3,22.0,1.0,1FEP,periplasm,extracellular side,TRANSMEMBRANE PROTEINS:BETA-BARREL
24.5,22.0,3.0,1KMO,periplasm,extracellular side,TRANSMEMBRANE PROTEINS:BETA-BARREL
24.5,22.0,3.0,1PNZ,periplasm,extracellular side,TRANSMEMBRANE PROTEINS:BETA-BARREL
23.4,22.0,3.0,5FOK,periplasm,extracellular side,TRANSMEMBRANE PROTEINS:BETA-BARREL
31.4,12.0,1.0,6KSS,cytoplasmic side,extracellular side,TRANSMEMBRANE PROTEINS:ALPHA-HELICAL
28.6,12.0,0.0,4PE5,cytoplasmic side,extracellular side,TRANSMEMBRANE PROTEINS:ALPHA-HELICAL
34.8,8.0,0.0,3SYO,cytoplasmic side,extracellular side,TRANSMEMBRANE PROTEINS:ALPHA-HELICAL
31.6,18.0,8.0,7SAA,cytoplasmic side,extracellular side,TRANSMEMBRANE PROTEINS:ALPHA-HELICAL
30.2,12.0,4.0,5UN1,cytoplasmic side,extracellular side,TRANSMEMBRANE PROTEINS:ALPHA-HELICAL
27.2,10.0,0.0,8E96,cytoplasmic side,extracellular side,TRANSMEMBRANE PROTEINS:ALPHA-HELICAL
30.4,11.0,3.0,7YFL,cytoplasmic side,extracellular side,TRANSMEMBRANE PROTEINS:ALPHA-HELICAL
32.0,12.0,5.0,7DV5,cytoplasmic side,extracellular side,TRANSMEMBRANE PROTEINS:ALPHA-HELICAL
31.8,76.0,0.0,5TWV,cytoplasmic side,extracellular side,TRANSMEMBRANE PROTEINS:ALPHA-HELICAL
32.0,12.0,0.0,4MRN,cytoplasmic side,periplasm,TRANSMEMBRANE PROTEINS:ALPHA-HELICAL
31.4,12.0,2.0,6PAM,cytoplasmic side,periplasm,TRANSMEMBRANE PROTEINS:ALPHA-HELICAL
30.8,12.0,3.0,4MYC,mitochondrial matrix,intermembrane space,TRANSMEMBRANE PROTEINS:ALPHA-HELICAL
30.2,12.0,2.0,7PSL,mitochondrial matrix,intermembrane space,TRANSMEMBRANE PROTEINS:ALPHA-HELICAL
33.8,7.0,4.0,3NY8,cytoplasmic side,extracellular side,TRANSMEMBRANE PROTEINS:ALPHA-HELICAL
31.4,7.0,7.0,3P0G,cytoplasmic side,extracellular side,TRANSMEMBRANE PROTEINS:ALPHA-HELICAL
30.2,12.0,1.0,6IRA,cytoplasmic side,extracellular side,TRANSMEMBRANE PROTEINS:ALPHA-HELICAL
29.2,17.0,5.0,7EU7,cytoplasmic side,extracellular side,TRANSMEMBRANE PROTEINS:ALPHA-HELICAL
28.4,16.0,0.0,7EOS,cytoplasmic side,extracellular side,TRANSMEMBRANE PROTEINS:ALPHA-HELICAL
30.4,12.0,0.0,7YFI,cytoplasmic side,extracellular side,TRANSMEMBRANE PROTEINS:ALPHA-HELICAL
31.4,7.0,5.0,3PDS,cytoplasmic side,extracellular side,TRANSMEMBRANE PROTEINS:ALPHA-HELICAL
31.6,7.0,7.0,4GBR,cytoplasmic side,extracellular side,TRANSMEMBRANE PROTEINS:ALPHA-HELICAL
33.8,7.0,4.0,6PRZ,cytoplasmic side,extracellular side,TRANSMEMBRANE PROTEINS:ALPHA-HELICAL
33.8,7.0,4.0,5X7D,cytoplasmic side,extracellular side,TRANSMEMBRANE PROTEINS:ALPHA-HELICAL
31.4,7.0,2.0,6KR8,cytoplasmic side,extracellular side,TRANSMEMBRANE PROTEINS:ALPHA-HELICAL
29.8,12.0,0.0,7N58,mitochondrial matrix,intermembrane space,TRANSMEMBRANE PROTEINS:ALPHA-HELICAL
32.4,12.0,0.0,4PL0,cytoplasmic side,periplasm,TRANSMEMBRANE PROTEINS:ALPHA-HELICAL
31.4,12.0,0.0,4UQQ,cytoplasmic side,extracellular side,TRANSMEMBRANE PROTEINS:ALPHA-HELICAL
31.4,12.0,0.0,5KUF,cytoplasmic side,extracellular side,TRANSMEMBRANE PROTEINS:ALPHA-HELICAL
