,bibliography_year,inconsistencies,pdb_code,group (OPM),group (MPstruc),rcsentinfo_experimental_method,protein_codes,experimental_method,inconsistency
100,2020,7,7K3G,BITOPIC PROTEINS,TRANSMEMBRANE PROTEINS:ALPHA-HELICAL,"EM, EM, NMR, X-ray, X-ray, NMR, NMR","['6S3S', '6S3R', '7K7A', '7BV6', '6NV1', '7K3G', '6Z0G']",Nuclear Magnetic Resonance (NMR),1
101,2020,7,6Z0G,BITOPIC PROTEINS,TRANSMEMBRANE PROTEINS:ALPHA-HELICAL,"EM, EM, NMR, X-ray, X-ray, NMR, NMR","['6S3S', '6S3R', '7K7A', '7BV6', '6NV1', '7K3G', '6Z0G']",Nuclear Magnetic Resonance (NMR),1
102,2021,6,7LQ6,BITOPIC PROTEINS,MONOTOPIC MEMBRANE PROTEINS,"EM, NMR, EM, EM, NMR, X-ray","['7LQ6', '7OFM', '7AGX', '7OKN', '7KN0', '6LKD']",Cryo-Electron Microscopy (EM),1
103,2021,6,7OFM,BITOPIC PROTEINS,MONOTOPIC MEMBRANE PROTEINS,"EM, NMR, EM, EM, NMR, X-ray","['7LQ6', '7OFM', '7AGX', '7OKN', '7KN0', '6LKD']",Nuclear Magnetic Resonance (NMR),1
104,2021,6,7AGX,TRANSMEMBRANE PROTEINS:ALPHA-HELICAL,TRANSMEMBRANE PROTEINS:BETA-BARREL,"EM, NMR, EM, EM, NMR, X-ray","['7LQ6', '7OFM', '7AGX', '7OKN', '7KN0', '6LKD']",Cryo-Electron Microscopy (EM),1
105,2021,6,7OKN,TRANSMEMBRANE PROTEINS:ALPHA-HELICAL,TRANSMEMBRANE PROTEINS:BETA-BARREL,"EM, NMR, EM, EM, NMR, X-ray","['7LQ6', '7OFM', '7AGX', '7OKN', '7KN0', '6LKD']",Cryo-Electron Microscopy (EM),1
106,2021,6,7KN0,BITOPIC PROTEINS,TRANSMEMBRANE PROTEINS:ALPHA-HELICAL,"EM, NMR, EM, EM, NMR, X-ray","['7LQ6', '7OFM', '7AGX', '7OKN', '7KN0', '6LKD']",Nuclear Magnetic Resonance (NMR),1
107,2021,6,6LKD,BITOPIC PROTEINS,TRANSMEMBRANE PROTEINS:ALPHA-HELICAL,"EM, NMR, EM, EM, NMR, X-ray","['7LQ6', '7OFM', '7AGX', '7OKN', '7KN0', '6LKD']",X-Ray Crystallography,1
108,2022,9,7RSL,TRANSMEMBRANE PROTEINS:ALPHA-HELICAL,MONOTOPIC MEMBRANE PROTEINS,"EM, EM, EM, EM, EM, X-ray, EM, NMR, NMR","['7RSL', '8A1D', '7WSO', '7XT6', '7XQ8', '7W2B', '7FJD', '7VU5', '7MPA']",Cryo-Electron Microscopy (EM),1
109,2022,9,8A1D,MONOTOPIC MEMBRANE PROTEINS,TRANSMEMBRANE PROTEINS:BETA-BARREL,"EM, EM, EM, EM, EM, X-ray, EM, NMR, NMR","['7RSL', '8A1D', '7WSO', '7XT6', '7XQ8', '7W2B', '7FJD', '7VU5', '7MPA']",Cryo-Electron Microscopy (EM),1
110,2022,9,7WSO,BITOPIC PROTEINS,TRANSMEMBRANE PROTEINS:ALPHA-HELICAL,"EM, EM, EM, EM, EM, X-ray, EM, NMR, NMR","['7RSL', '8A1D', '7WSO', '7XT6', '7XQ8', '7W2B', '7FJD', '7VU5', '7MPA']",Cryo-Electron Microscopy (EM),1
111,2022,9,7XT6,BITOPIC PROTEINS,TRANSMEMBRANE PROTEINS:ALPHA-HELICAL,"EM, EM, EM, EM, EM, X-ray, EM, NMR, NMR","['7RSL', '8A1D', '7WSO', '7XT6', '7XQ8', '7W2B', '7FJD', '7VU5', '7MPA']",Cryo-Electron Microscopy (EM),1
112,2022,9,7XQ8,BITOPIC PROTEINS,TRANSMEMBRANE PROTEINS:ALPHA-HELICAL,"EM, EM, EM, EM, EM, X-ray, EM, NMR, NMR","['7RSL', '8A1D', '7WSO', '7XT6', '7XQ8', '7W2B', '7FJD', '7VU5', '7MPA']",Cryo-Electron Microscopy (EM),1
113,2022,9,7W2B,BITOPIC PROTEINS,TRANSMEMBRANE PROTEINS:ALPHA-HELICAL,"EM, EM, EM, EM, EM, X-ray, EM, NMR, NMR","['7RSL', '8A1D', '7WSO', '7XT6', '7XQ8', '7W2B', '7FJD', '7VU5', '7MPA']",X-Ray Crystallography,1
114,2022,9,7FJD,BITOPIC PROTEINS,TRANSMEMBRANE PROTEINS:ALPHA-HELICAL,"EM, EM, EM, EM, EM, X-ray, EM, NMR, NMR","['7RSL', '8A1D', '7WSO', '7XT6', '7XQ8', '7W2B', '7FJD', '7VU5', '7MPA']",Cryo-Electron Microscopy (EM),1
115,2022,9,7VU5,BITOPIC PROTEINS,TRANSMEMBRANE PROTEINS:ALPHA-HELICAL,"EM, EM, EM, EM, EM, X-ray, EM, NMR, NMR","['7RSL', '8A1D', '7WSO', '7XT6', '7XQ8', '7W2B', '7FJD', '7VU5', '7MPA']",Nuclear Magnetic Resonance (NMR),1
116,2022,9,7MPA,BITOPIC PROTEINS,TRANSMEMBRANE PROTEINS:ALPHA-HELICAL,"EM, EM, EM, EM, EM, X-ray, EM, NMR, NMR","['7RSL', '8A1D', '7WSO', '7XT6', '7XQ8', '7W2B', '7FJD', '7VU5', '7MPA']",Nuclear Magnetic Resonance (NMR),1
117,2023,1,8GI1,BITOPIC PROTEINS,TRANSMEMBRANE PROTEINS:BETA-BARREL,EM,['8GI1'],Cryo-Electron Microscopy (EM),1
